state,time,commodity,country,total_import_values
Alaska,2016,"333 Machinery, Except Electrical",World Total,"72,080,610"
Alaska,2016,334 Computer & Electronic Products,World Total,"808,398,485"
Alaska,2016,"335 Electrical Equipment, Appliances & Components",World Total,"42,798,693"
Alaska,2016,336 Transportation Equipment,World Total,"50,112,193"
Alaska,2016,337 Furniture & Fixtures,World Total,"7,800,030"
Alaska,2016,339 Miscellaneous Manufactured Commodities,World Total,"16,574,765"
Alaska,2016,910 Waste And Scrap,World Total,"180,866"
Alaska,2016,930 Used Or Second-hand Merchandise,World Total,"2,863,062"
Alaska,2016,980 Goods Returned (exports For Canada Only),World Total,"147,900,283"
Alaska,2016,990 Other Special Classification Provisions,World Total,"326,647"
Alaska,2017,111 Agricultural Products,World Total,"1,363,320"
Alaska,2017,112 Livestock & Livestock Products,World Total,"712,519"
Alaska,2017,"113 Forestry Products, Nesoi",World Total,"4,480"
Alaska,2017,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"4,860,946"
Alaska,2017,211 Oil & Gas,World Total,"55,975,920"
Alaska,2017,212 Minerals & Ores,World Total,"70,999,484"
Alaska,2017,311 Food & Kindred Products,World Total,"14,131,768"
Alaska,2017,312 Beverages & Tobacco Products,World Total,"90,893"
Alaska,2017,313 Textiles & Fabrics,World Total,"461,620"
Alaska,2017,314 Textile Mill Products,World Total,"2,118,123"
Alaska,2017,315 Apparel & Accessories,World Total,"8,995,776"
Alaska,2017,316 Leather & Allied Products,World Total,"3,782,224"
Alaska,2017,321 Wood Products,World Total,"15,567,748"
Alaska,2017,322 Paper,World Total,"8,560,512"
Alaska,2017,"323 Printed Matter And Related Products, Nesoi",World Total,"1,495,604"
Alaska,2017,324 Petroleum & Coal Products,World Total,"668,863,972"
Alaska,2017,325 Chemicals,World Total,"39,355,442"
Alaska,2017,326 Plastics & Rubber Products,World Total,"12,509,072"
Alaska,2017,327 Nonmetallic Mineral Products,World Total,"12,698,238"
Alaska,2017,331 Primary Metal Mfg,World Total,"30,903,639"
Alaska,2017,"332 Fabricated Metal Products, Nesoi",World Total,"34,572,624"
Alaska,2017,"333 Machinery, Except Electrical",World Total,"102,985,125"
Alaska,2017,334 Computer & Electronic Products,World Total,"427,999,911"
Alaska,2017,"335 Electrical Equipment, Appliances & Components",World Total,"20,702,499"
Alaska,2017,336 Transportation Equipment,World Total,"125,073,870"
Alaska,2017,337 Furniture & Fixtures,World Total,"5,799,990"
Alaska,2017,339 Miscellaneous Manufactured Commodities,World Total,"8,066,797"
Alaska,2017,910 Waste And Scrap,World Total,"138,862"
Alaska,2017,930 Used Or Second-hand Merchandise,World Total,"2,010,793"
Alaska,2017,980 Goods Returned (exports For Canada Only),World Total,"50,686,407"
Alaska,2017,990 Other Special Classification Provisions,World Total,"248,548"
Alaska,2018,111 Agricultural Products,World Total,"1,454,696"
Alaska,2018,112 Livestock & Livestock Products,World Total,"720,863"
Alaska,2018,"113 Forestry Products, Nesoi",World Total,749
Alaska,2018,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"4,891,580"
Alaska,2018,211 Oil & Gas,World Total,"4,356,467"
Alaska,2018,212 Minerals & Ores,World Total,"52,715,449"
Alaska,2018,311 Food & Kindred Products,World Total,"14,756,867"
Alaska,2018,312 Beverages & Tobacco Products,World Total,"629,195"
Alaska,2018,313 Textiles & Fabrics,World Total,"1,005,322"
Alaska,2018,314 Textile Mill Products,World Total,"3,164,364"
Alaska,2018,315 Apparel & Accessories,World Total,"12,905,479"
Alaska,2018,316 Leather & Allied Products,World Total,"4,082,179"
Alaska,2018,321 Wood Products,World Total,"9,440,912"
Alaska,2018,322 Paper,World Total,"9,416,162"
Alaska,2018,"323 Printed Matter And Related Products, Nesoi",World Total,"1,793,006"
Alaska,2018,324 Petroleum & Coal Products,World Total,"968,825,621"
Alaska,2018,325 Chemicals,World Total,"37,112,179"
Alaska,2018,326 Plastics & Rubber Products,World Total,"18,772,975"
Alaska,2018,327 Nonmetallic Mineral Products,World Total,"8,459,671"
Alaska,2018,331 Primary Metal Mfg,World Total,"26,339,200"
Alaska,2018,"332 Fabricated Metal Products, Nesoi",World Total,"39,769,055"
Alaska,2018,"333 Machinery, Except Electrical",World Total,"77,879,970"
Alaska,2018,334 Computer & Electronic Products,World Total,"399,740,765"
Alaska,2018,"335 Electrical Equipment, Appliances & Components",World Total,"14,831,271"
Alaska,2018,336 Transportation Equipment,World Total,"78,651,686"
Alaska,2018,337 Furniture & Fixtures,World Total,"5,096,454"
Alaska,2018,339 Miscellaneous Manufactured Commodities,World Total,"10,626,969"
Alaska,2018,910 Waste And Scrap,World Total,"3,189,093"
Alaska,2018,930 Used Or Second-hand Merchandise,World Total,"3,819,730"
Alaska,2018,980 Goods Returned (exports For Canada Only),World Total,"78,994,377"
Alaska,2018,990 Other Special Classification Provisions,World Total,"901,472"
Arizona,2014,111 Agricultural Products,World Total,"2,367,904,518"
Arizona,2014,112 Livestock & Livestock Products,World Total,"150,262,955"
Arizona,2014,"113 Forestry Products, Nesoi",World Total,"1,073,738"
Arizona,2014,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,"30,868,420"
Arizona,2014,211 Oil & Gas,World Total,"42,413,409"
Arizona,2014,212 Minerals & Ores,World Total,"23,028,383"
Arizona,2014,311 Food & Kindred Products,World Total,"261,596,037"
Arizona,2014,312 Beverages & Tobacco Products,World Total,"156,898,353"
Arizona,2014,313 Textiles & Fabrics,World Total,"36,808,381"
Arizona,2014,314 Textile Mill Products,World Total,"236,623,598"
Arizona,2014,315 Apparel & Accessories,World Total,"221,637,105"
Arizona,2014,316 Leather & Allied Products,World Total,"107,827,211"
